Date,Price,Open,High,Low,Vol.,Change %
3/27/2012,103.49,103.49,103.49,103.49,1.98M,0.00%
3/30/2012,103.45,103.45,103.45,103.45,502.80K,-0.04%
4/2/2012,105,104.55,105,104.55,575.86K,1.50%
4/4/2012,105.45,105.45,105.45,105.45,288.90K,0.43%
4/5/2012,105.91,106,106,105.91,765.58K,0.44%
4/10/2012,105.45,105.45,105.45,105.45,1.02M,-0.43%
4/11/2012,105.46,105.46,105.46,105.46,155.32K,0.01%
4/12/2012,105.45,105.45,105.45,105.45,193.27K,-0.01%
4/18/2012,109.09,109.09,109.09,109.09,66.83K,3.45%
4/19/2012,109.09,109.09,109.09,108.18,1.57M,0.00%
4/20/2012,109.09,109.09,109.09,109.09,1.43M,0.00%
4/23/2012,109.09,109.09,109.09,109.09,507.07K,0.00%
4/24/2012,110.93,110.93,110.93,110.93,540.90K,1.69%
4/27/2012,110.93,110.91,110.93,110.91,188.84K,0.00%
4/30/2012,110.91,110.91,110.91,110.91,170.72K,-0.02%
5/4/2012,108.58,108.58,108.58,108.58,345.81K,-2.10%
5/8/2012,109.09,109.09,109.09,109.09,131.43K,0.47%
5/11/2012,110.45,110.45,110.45,110.45,132.81K,1.25%
5/16/2012,112,112,112,112,262.92K,1.40%
5/18/2012,112.11,112.11,112.11,112.11,90.81K,0.10%
5/24/2012,112.25,112.25,112.25,112.25,138.60K,0.12%
6/6/2012,106.64,106.64,106.64,106.64,180.46K,-5.00%
6/7/2012,102,102,102,102,405.39K,-4.35%
6/8/2012,102.01,102.01,102.01,102.01,742.33K,0.01%
6/11/2012,105.5,105.5,105.5,105.5,242.50K,3.42%
6/12/2012,108,108,108,108,345.63K,2.37%
6/13/2012,108,108,108,108,179.62K,0.00%
6/15/2012,108,108,108,108,308.09K,0.00%
6/18/2012,104,107,107,104,285.30K,-3.70%
6/19/2012,104,104,104,104,155.56K,0.00%
6/20/2012,108,108,108,108,170.16K,3.85%
6/26/2012,108,108,108,108,628.36K,0.00%
6/27/2012,110,108,110,108,449.49K,1.85%
7/2/2012,108,108,108,108,690.70K,-1.82%
7/10/2012,108,108,108,108,2.40M,0.00%
7/12/2012,112,112,112,112,263.70K,3.70%
7/13/2012,116,115,116,115,265.73K,3.57%
7/16/2012,116,116,116,116,101.15K,0.00%
7/19/2012,113.5,113.5,113.5,113.5,248.13K,-2.16%
7/20/2012,115,113.5,116,113.5,605.92K,1.32%
7/23/2012,120.75,114.5,120.75,114,861.92K,5.00%
7/24/2012,116,116,116,116,464.02K,-3.93%
7/26/2012,116,113,116,113,946.02K,0.00%
7/27/2012,120,111,120,111,762.00K,3.45%
7/31/2012,114,114.5,119.5,114,1.27M,-5.00%
8/1/2012,118,116.5,118,116.5,440.98K,3.51%
8/2/2012,118,118,118.5,118,635.97K,0.00%
8/8/2012,114,114,114,114,132.05K,-3.39%
8/10/2012,115,115,115,115,454.85K,0.88%
8/14/2012,112.5,113,113,112.5,563.29K,-2.17%
8/15/2012,112.4,112.4,112.4,112.4,216.14K,-0.09%
8/16/2012,110,110.05,112,110,1.68M,-2.14%
8/17/2012,110.02,110,110.02,110,1.02M,0.02%
8/22/2012,110.01,110,110.01,110,1.06M,-0.01%
8/24/2012,113,112,115,112,224.08K,2.72%
8/27/2012,113,113,113,113,668.19K,0.00%
8/29/2012,113,113,113,113,441.35K,0.00%
8/31/2012,114.1,114.1,114.1,114.1,95.70K,0.97%
9/3/2012,115,115,115,115,533.34K,0.79%
9/4/2012,115,115,115,115,1.23M,0.00%
9/5/2012,116.99,115.5,116.99,115.5,585.93K,1.73%
9/6/2012,116.98,115,116.98,115,1.68M,-0.01%
9/10/2012,115,115,115,115,543.66K,-1.69%
9/11/2012,115,115,115,115,417.46K,0.00%
9/12/2012,115,115,115,115,551.31K,0.00%
9/17/2012,115.02,115.01,115.02,115.01,259.34K,0.02%
9/19/2012,116.26,118,118,116.26,492.52K,1.08%
9/25/2012,119.98,119.98,119.98,119.98,248.32K,3.20%
9/26/2012,119,119,119,119,212.54K,-0.82%
9/27/2012,118,118,118,118,124.56K,-0.84%
9/28/2012,123,117,123,117,317.52K,4.24%
10/2/2012,119.03,119.03,119.03,119.03,181.22K,-3.23%
10/4/2012,118.5,118.5,118.5,118.5,149.98K,-0.45%
10/16/2012,120,119,120,119,485.67K,1.27%
10/17/2012,120,120,120,120,3.18M,0.00%
10/19/2012,120,120,120,120,378.04K,0.00%
10/30/2012,120.11,120.1,120.11,120.1,299.31K,0.09%
11/1/2012,120.11,120.11,120.11,120.11,369.50K,0.00%
11/2/2012,120,120,120,120,267.41K,-0.09%
11/7/2012,121.02,121.02,121.02,121.02,330.97K,0.85%
11/8/2012,122.5,121.1,122.5,121.1,3.50M,1.22%
11/12/2012,121,121,121,121,151.65K,-1.22%
11/13/2012,121.05,121,121.11,121,1.11M,0.04%
11/14/2012,121.05,121.05,121.05,121.05,262.86K,0.00%
11/16/2012,121.05,121.05,121.05,121.05,145.97K,0.00%
11/26/2012,121.05,121.05,121.05,121.05,196.53K,0.00%
11/29/2012,121.5,121.5,121.5,121.5,272.47K,0.37%
11/30/2012,121.5,121.5,121.5,121.5,1.42M,0.00%
12/3/2012,121.5,121.5,121.5,121.5,420.06K,0.00%
12/4/2012,121.5,121.5,121.5,121.5,377.61K,0.00%
12/5/2012,121.5,121.5,121.5,121.5,3.59M,0.00%
12/7/2012,121,121,121.2,121,314.04K,-0.41%
12/12/2012,121.83,121.83,121.83,121.83,1.77M,0.69%
12/13/2012,121.5,121.5,121.5,121.5,116.31K,-0.27%
12/20/2012,122,121.67,122,121.67,196.81K,0.41%
12/24/2012,122,122,122,122,1.01M,0.00%
12/27/2012,128.1,125,128.1,125,246.13K,5.00%
12/31/2012,128.1,134.5,134.5,128.1,555.37K,0.00%
1/3/2013,125,125,125,125,185.16K,-2.42%
1/4/2013,125,125,125,125,91.78K,0.00%
1/11/2013,126,131.25,131.25,126,731.74K,0.80%
1/16/2013,130.05,130.05,130.05,130.05,330.97K,3.21%
1/17/2013,135,136,136,135,584.98K,3.81%
1/18/2013,140,135,140,135,300.46K,3.70%
1/22/2013,145,140,145,139.03,1.12M,3.57%
1/23/2013,150,140,150,140,266.50K,3.45%
1/25/2013,147,145,147,140.09,303.86K,-2.00%
1/28/2013,140.2,145,145,140.15,602.25K,-4.63%
1/30/2013,140,140,140.5,140,225.48K,-0.14%
1/31/2013,139.9,139.5,139.9,139.5,121.55K,-0.07%
2/1/2013,144.87,140,144.87,140,1.27M,3.55%
2/4/2013,140,140,140,140,412.56K,-3.36%
2/5/2013,140.89,145,145,140.89,163.90K,0.64%
2/6/2013,142.01,140.01,142.5,140.01,342.22K,0.79%
2/7/2013,142.5,143,143,142.5,520.83K,0.35%
2/8/2013,144,144.89,144.89,142,223.77K,1.05%
2/12/2013,141,141,141,140,2.62M,-2.08%
2/13/2013,140,140,140,140,7.89M,-0.71%
2/14/2013,147,142.5,147,139.01,2.16M,5.00%
2/15/2013,145,140.8,145,140.8,969.97K,-1.36%
2/18/2013,143.8,140.25,143.9,140.25,124.72K,-0.83%
2/19/2013,145,141,145,141,653.79K,0.83%
2/20/2013,146.99,145,147,145,341.78K,1.37%
2/21/2013,146.99,145.5,146.99,144,3.48M,0.00%
2/22/2013,160,147,160,147,678.10K,8.85%
2/26/2013,155,155,176,146.01,1.24M,-3.13%
2/28/2013,146.02,145.6,155,145.6,1.58M,-5.79%
3/1/2013,147.99,140.08,147.99,140.08,973.56K,1.35%
3/4/2013,145,145,145,145,964.37K,-2.02%
3/5/2013,141,145,145,141,920.18K,-2.76%
3/6/2013,141,141,141,141,111.38K,0.00%
3/7/2013,142.49,141.5,142.49,141.5,133.08K,1.06%
3/8/2013,142.5,142.4,142.99,142.4,250.77K,0.01%
3/11/2013,142.49,142.01,142.5,142.01,346.90K,-0.01%
3/12/2013,142.99,142.49,142.99,142.35,178.15K,0.35%
3/13/2013,143,143,143,143,888.80K,0.01%
3/14/2013,143,143,143,143,6.18M,0.00%
3/15/2013,141.5,143,143.01,143,233.84K,-1.05%
3/18/2013,147,144.94,147,144.94,180.96K,3.89%
3/19/2013,147.11,146.5,147.11,145.6,193.37K,0.07%
3/21/2013,150,148.17,150,148.17,142.70K,1.96%
3/22/2013,155,151,155,151,121.60K,3.33%
3/25/2013,155,155,155,155,520.37K,0.00%
3/26/2013,151.9,151.9,151.9,151.9,44.76K,-2.00%
3/27/2013,149.21,151.8,151.8,148,1.58M,-1.77%
3/28/2013,148.5,143.2,150.01,143.2,304.57K,-0.48%
4/2/2013,155,148,155,148,231.96K,4.38%
4/3/2013,155.05,155.05,155.05,155.05,21.86K,0.03%
4/4/2013,156,156.35,156.51,156,116.96K,0.61%
4/5/2013,156,156,156,156,57.54K,0.00%
4/8/2013,165,156,165,156,1.43M,5.77%
4/9/2013,156,160,160,156,414.18K,-5.45%
4/10/2013,157.02,157.02,157.02,157.02,64.35K,0.65%
4/11/2013,156.22,157.2,157.2,156.22,268.53K,-0.51%
4/12/2013,156,156.22,156.23,156,561.29K,-0.14%
4/15/2013,157.6,157.6,157.6,157.6,51.73K,1.03%
4/16/2013,157,156.36,157,156.36,85.74K,-0.38%
4/17/2013,161.1,157,165,157,396.34K,2.61%
4/18/2013,156,161.1,161.1,156,2.91M,-3.17%
4/22/2013,156.1,156.02,156.1,156.02,155.16K,0.06%
4/23/2013,156,156.15,156.26,156,224.14K,-0.06%
4/24/2013,160,156,163.5,156,370.99K,2.56%
4/25/2013,160,154.07,160.04,154.07,171.39K,0.00%
4/26/2013,158.85,155,158.85,155,137.84K,-0.72%
4/29/2013,156.12,156.12,156.12,156.12,41.27K,-1.72%
4/30/2013,162,160,160.12,160,192.84K,3.77%
5/2/2013,178.2,170,178.2,170,443.70K,10.00%
5/3/2013,185,180,185,180,1.29M,3.82%
5/6/2013,182,182,182,182,26.88K,-1.62%
5/7/2013,175.06,175,175.7,170,550.17K,-3.81%
5/8/2013,178.22,176.1,180,176.1,5.47M,1.81%
5/9/2013,180,178.2,180,178.2,506.72K,1.00%
5/10/2013,180,180,180,180,898.78K,0.00%
5/13/2013,178.2,178.2,178.82,178.2,841.99K,-1.00%
5/14/2013,180,178,180,178,599.31K,1.01%
5/15/2013,180,180,180,180,331.19K,0.00%
5/16/2013,180.11,180,180.11,180,44.33K,0.06%
5/17/2013,187,180.2,187,180.15,357.87K,3.83%
5/20/2013,183.01,182.67,183.01,182.67,251.60K,-2.13%
5/21/2013,184,182,187.01,180,18.97M,0.54%
5/22/2013,186,184,186.75,184,748.31K,1.09%
5/23/2013,171.3,186,186,171.3,646.58K,-7.90%
5/24/2013,184.5,180,184.5,180,607.95K,7.71%
5/27/2013,186,186,186,185.01,274.57K,0.81%
5/28/2013,186,186,186,185.02,253.87K,0.00%
5/30/2013,187.5,186.5,187.5,186.5,405.51K,0.81%
5/31/2013,191,187.7,191,187.7,536.27K,1.87%
6/3/2013,191.72,191,191.72,190.5,318.32K,0.38%
6/4/2013,196.26,193,196.28,193,797.03K,2.37%
6/5/2013,210,200,210.03,200,443.80K,7.00%
6/6/2013,208.49,230.99,231,208.49,926.64K,-0.72%
6/7/2013,210,223.5,223.5,209.75,1.41M,0.72%
6/10/2013,210,208.9,215,209,256.59M,0.00%
6/11/2013,210.01,211.2,215,210,716.02K,0.00%
6/12/2013,199,214.9,217,199,1.84M,-5.24%
6/13/2013,199,191,199,179.1,1.03M,0.00%
6/14/2013,199,189,199,189,1.82M,0.00%
6/19/2013,195,193.01,195,192.3,2.12M,-2.01%
6/21/2013,192,190.45,192,190,423.79K,-1.54%
6/24/2013,189.8,190.8,190.8,189.05,145.64K,-1.15%
6/25/2013,189.95,180,190,175.71,2.71M,0.08%
6/26/2013,188,189.94,190,186.1,392.51K,-1.03%
6/28/2013,182,183.01,188,182,498.16K,-3.19%
7/1/2013,180,180,180.11,180,768.29K,-1.10%
7/2/2013,180,180.11,180.11,180,473.50K,0.00%
7/3/2013,180,180.05,180.31,180,568.33K,0.00%
7/4/2013,182.38,180.1,182.38,180.1,638.67K,1.32%
7/5/2013,185,184.5,185.05,184.5,311.12K,1.44%
7/9/2013,189,185,189.01,185,1.04M,2.16%
7/10/2013,190,190.05,190.06,190,478.57K,0.53%
7/11/2013,190,189,190,189,232.90K,0.00%
7/12/2013,189,190,190,189,297.15K,-0.53%
7/15/2013,190,190,190,189.85,620.75K,0.53%
7/16/2013,190,190,190,190,217.64K,0.00%
7/17/2013,189.11,190,190,189.11,423.69K,-0.47%
7/18/2013,190,189.99,190,189.99,224.23K,0.47%
7/19/2013,190,190,190,190,232.68K,0.00%
7/22/2013,189.97,190,190,189.97,907.47K,-0.02%
7/23/2013,190,190,190,189.99,293.79K,0.02%
7/24/2013,189.99,190,190,189.99,235.64K,-0.01%
7/25/2013,190,190,190.01,190,1.93M,0.01%
7/26/2013,190,190,190,190,698.65K,0.00%
7/29/2013,194.77,192.02,194.77,192.02,195.72K,2.51%
7/30/2013,194.73,194.77,194.77,194.35,1.01M,-0.02%
7/31/2013,194.72,194.72,194.75,194.33,1.02M,-0.01%
8/1/2013,194.72,194.7,194.72,194.7,2.23M,0.00%
8/2/2013,196,194.7,196,194.7,1.37M,0.66%
8/5/2013,195,195,195,195,181.85K,-0.51%
8/6/2013,195,194.8,195,194.3,523.99K,0.00%
8/7/2013,194,194.94,194.94,194,361.61K,-0.51%
8/12/2013,194,194,194,193.99,2.02M,0.00%
8/13/2013,194,193.99,194,193.99,2.04M,0.00%
8/14/2013,193.5,193.5,193.5,192.2,582.41K,-0.26%
8/15/2013,192,190,192,190,319.98K,-0.78%
8/16/2013,190,191.21,191.21,190,1.24M,-1.04%
8/19/2013,190,190,190,190,220.35K,0.00%
8/21/2013,190,188.05,190,188.05,425.31K,0.00%
8/22/2013,190,190,190,190,1.09M,0.00%
8/23/2013,188,188.01,188.01,188,77.62K,-1.05%
8/26/2013,190,190,190,190,4.06M,1.06%
8/27/2013,190,190,190,189.75,563.71K,0.00%
8/28/2013,190,188.5,190,188.5,158.01K,0.00%
8/29/2013,190,189.95,190,189.9,711.91K,0.00%
8/30/2013,190,189.99,190,189.99,5.01M,0.00%
9/2/2013,190,190,190,190,183.53K,0.00%
9/4/2013,190,190,198,190,4.99M,0.00%
9/5/2013,194,199,199,192,1.49M,2.11%
9/6/2013,193,194,194,193,493.25K,-0.52%
9/9/2013,193,193,193,193,93.33K,0.00%
9/10/2013,191.5,191.5,191.5,191.5,132.37K,-0.78%
9/12/2013,193,191,193,191,112.42K,0.78%
9/13/2013,190,190,190,190,214.41K,-1.55%
9/16/2013,189.15,190,190,190,2.12M,-0.45%
9/17/2013,190,190,190,190,124.31K,0.45%
9/19/2013,189,189,189,189,250.36K,-0.53%
9/20/2013,190,189,190,189,225.26K,0.53%
9/23/2013,190,190,190,190,286.71K,0.00%
9/26/2013,190,190,190,189.99,222.71K,0.00%
9/27/2013,190,190,190,190,218.04K,0.00%
9/30/2013,190,189.99,190,189.99,538.71K,0.00%
10/2/2013,190,190,190,189.9,519.17K,0.00%
10/3/2013,190,190,190.1,190,2.27M,0.00%
10/4/2013,190,190,190,190,584.75K,0.00%
10/7/2013,190,190,190,190,60.80K,0.00%
10/8/2013,190,190,190.02,190,1.11M,0.00%
10/9/2013,194.94,189.99,194.94,189.99,1.08M,2.60%
10/10/2013,189.5,190,190,189.5,553.33K,-2.79%
10/11/2013,189,189,189.1,189,144.83K,-0.26%
10/14/2013,189,189.99,190,188,1.24M,0.00%
10/17/2013,190,190,190,189.99,2.62M,0.53%
10/18/2013,186.2,186.2,186.2,186.2,44.67K,-2.00%
10/21/2013,186,186,186,186,61.20K,-0.11%
10/22/2013,186.5,186.01,186.5,186,332.67K,0.27%
10/24/2013,190,189.9,190,189.9,1.24M,1.88%
10/28/2013,190,190,190,190,179.09K,0.00%
10/29/2013,190,190,190,190,415.57K,0.00%
10/31/2013,190,190,190,190,971.74K,0.00%
11/4/2013,190,190,190.99,190,421.81K,0.00%
11/5/2013,190,190,190,190,325.23K,0.00%
11/6/2013,190,190.01,190.01,190,370.43K,0.00%
11/7/2013,187.51,188.91,190,187.51,163.42K,-1.31%
11/8/2013,185,185,185.5,185,20.19M,-1.34%
11/11/2013,185,185,185,185,10.02M,0.00%
11/12/2013,190,185.1,190,187,1.21M,2.70%
11/13/2013,188.25,188.25,188.25,188.25,49.96K,-0.92%
11/14/2013,185,187.5,187.5,185,343.38K,-1.73%
11/15/2013,187,187,187,187,46.31K,1.08%
11/18/2013,187,187,187,187,385.58K,0.00%
11/19/2013,190,190,190,187.05,600.45K,1.60%
11/20/2013,195,190,195.55,190,1.93M,2.63%
11/21/2013,196,195.53,197,195.01,880.44K,0.51%
11/22/2013,195,195.12,195.12,195,9.57M,-0.51%
11/26/2013,194,194,194,193,179.09K,-0.51%
11/27/2013,195,195,195.5,195,1.16M,0.52%
11/28/2013,195,194.01,195,194,165.71K,0.00%
11/29/2013,195,195,195,195,48.93K,0.00%
12/2/2013,195,195,195,195,50.64K,0.00%
12/3/2013,195,195,195,195,275.40K,0.00%
12/4/2013,195,195,195,194.51,2.07M,0.00%
12/5/2013,195.5,195,195.5,195,1.20M,0.26%
12/9/2013,195.03,192,195.03,192,151.81K,-0.24%
12/10/2013,200,200,200,200,65.60K,2.55%
12/11/2013,200,203.6,200,200,1.19M,0.00%
12/12/2013,200,200,200.5,196.03,679.82K,0.00%
12/13/2013,200,200,210,199.99,916.10K,0.00%
12/16/2013,220,210,220,200,330.07K,10.00%
12/17/2013,210,212,212,209.01,534.03K,-4.55%
12/18/2013,211.74,210,211.8,209,1.65M,0.83%
12/19/2013,210,219,211.9,210,769.62K,-0.82%
12/20/2013,211,210,211,210,338.29K,0.48%
12/23/2013,212.8,218,212.8,210.08,174.50K,0.85%
12/24/2013,211.03,211.01,212.64,211.03,230.98K,-0.83%
12/27/2013,212.8,219,212.8,211,59.53K,0.84%
12/31/2013,218.99,218.99,218.99,218.99,322.53K,2.91%
1/2/2014,220,220,225,220,649.40K,0.46%
1/3/2014,220,225,220,213.9,159.50K,0.00%
1/6/2014,224,220,224,220,620.63K,1.82%
1/7/2014,235,232,235,232,66.44K,4.91%
1/8/2014,240,246.7,246,240,402.99K,2.13%
1/9/2014,230,240,240,229,1.33M,-4.17%
1/10/2014,230,220,230,219.01,2.48M,0.00%
1/13/2014,230,235,230,230,328.37K,0.00%
1/15/2014,230,238,238,226.1,481.84K,0.00%
1/16/2014,230,232.89,230,229.98,452.15K,0.00%
1/17/2014,230,234,230,229,1.10M,0.00%
1/20/2014,225.02,234.5,230,225.02,1.10M,-2.17%
1/21/2014,230,232.9,230.1,230,883.68K,2.21%
1/22/2014,230,232.88,232.48,230,148.34K,0.00%
1/23/2014,232.01,230.7,232.01,230.7,461.07K,0.87%
1/24/2014,233.75,234.82,237,233,1.51M,0.75%
1/27/2014,235.9,235,236,235,748.92K,0.92%
1/28/2014,235.01,244,236,235.01,303.04K,-0.38%
1/29/2014,235,244,235.02,233.05,726.10K,0.00%
1/30/2014,235,233,235,231,1.05M,0.00%
1/31/2014,234.49,246,234.49,233.7,761.75K,-0.22%
2/3/2014,243.3,233.51,243.3,233.51,225.53K,3.76%
2/4/2014,240.5,235.1,243.3,235.05,1.89M,-1.15%
2/5/2014,238,240.17,240.17,235,11.49M,-1.04%
2/6/2014,238,235.3,238,235.26,473.88K,0.00%
2/7/2014,240,248,240,239.94,331.85K,0.84%
