Date,Year,Month,Day,Price,Open,High,Low,Vol.,Change %
10/6/2023,2023,Oct,6,250,250,254,246.1,1.30M,0.00%
10/5/2023,2023,Oct,5,250,250,255,245,395.22K,0.00%
10/4/2023,2023,Oct,4,250,260,250,250,1.27M,-3.85%
10/3/2023,2023,Oct,3,260,264,260,260,490.73K,-1.52%
9/29/2023,2023,Sep,29,264,264.5,264,260,2.95M,-0.19%
9/28/2023,2023,Sep,28,264.5,264.5,268.9,260.3,730.16K,0.00%
9/26/2023,2023,Sep,26,264.5,264.5,268,260.1,261.27K,0.00%
9/25/2023,2023,Sep,25,264.5,269,264.5,264.5,2.28M,-1.67%
9/22/2023,2023,Sep,22,269,269,270,266.3,334.76K,0.00%
9/21/2023,2023,Sep,21,269,270.1,269,269,2.69M,-0.41%
9/20/2023,2023,Sep,20,270.1,270.1,270,265,417.40K,0.00%
9/19/2023,2023,Sep,19,270.1,270.1,270,265.2,234.59K,0.00%
9/18/2023,2023,Sep,18,270.1,270.1,272.8,268.1,481.94K,0.00%
9/15/2023,2023,Sep,15,270.1,270,270.1,270.1,766.39K,0.04%
9/14/2023,2023,Sep,14,270,270,270,270,2.50M,0.00%
9/13/2023,2023,Sep,13,270,270,270,270,3.19M,0.00%
9/12/2023,2023,Sep,12,270,274.2,270,270,822.51K,-1.53%
9/11/2023,2023,Sep,11,274.2,274.2,274.5,268,690.16K,0.00%
9/8/2023,2023,Sep,8,274.2,274.5,274.4,274.2,969.81K,-0.11%
9/7/2023,2023,Sep,7,274.5,274.5,274.5,274.5,684.82K,0.00%
9/6/2023,2023,Sep,6,274.5,274.5,274.5,271.6,370.85K,0.00%
9/5/2023,2023,Sep,5,274.5,274.4,274.5,274.5,1.44M,0.04%
9/4/2023,2023,Sep,4,274.4,274.4,275,273.5,1.53M,0.00%
9/1/2023,2023,Sep,1,274.4,274.5,274.4,274.4,661.37K,-0.04%
8/31/2023,2023,Aug,31,274.5,274.5,274.7,272,1.22M,0.00%
8/30/2023,2023,Aug,30,274.5,274.5,274.8,272,506.11K,0.00%
8/29/2023,2023,Aug,29,274.5,274.5,274.8,271,712.33K,0.00%
8/28/2023,2023,Aug,28,274.5,274.5,274.5,274.5,820.04K,0.00%
8/25/2023,2023,Aug,25,274.5,274.5,275,270,395.60K,0.00%
8/24/2023,2023,Aug,24,274.5,275,290,274.5,21.34M,-0.18%
